ecosystem,nameProject,forks,forksAhead,razao,razao100,medianaSpring,medianaAndroid
Spring,gs-rest-service,1262,175,"0,138668779714739",14,12,2
Spring,tut-spring-boot-oauth2,404,28,"0,069306930693069",7,,
Spring,gs-spring-boot,635,114,"0,179527559055118",18,,
Spring,gs-spring-boot-docker,480,108,"0,225",23,,
Spring,tut-rest,163,1,"0,006134969325153",1,,
Spring,gs-messaging-stomp-websocket,240,30,"0,125",13,,
Spring,gs-uploading-files,239,15,"0,062761506276151",6,,
Spring,getting-started-guides,93,5,"0,053763440860215",5,,
Spring,gs-serving-web-content,289,42,"0,145328719723183",15,,
Spring,gs-securing-web,199,13,"0,065326633165829",7,,
Spring,gs-accessing-data-jpa,162,17,"0,104938271604938",10,,
Spring,gs-maven,281,55,"0,195729537366548",20,,
Spring,gs-messaging-rabbitmq,105,9,"0,085714285714286",9,,
Spring,gs-gradle,199,24,"0,120603015075377",12,,
Spring,gs-accessing-data-rest,126,20,"0,158730158730159",16,,
Spring,gs-multi-module,47,5,"0,106382978723404",11,,
Spring,gs-batch-processing,165,12,"0,072727272727273",7,,
Spring,gs-consuming-rest,149,15,"0,100671140939597",10,,
Spring,gs-accessing-data-mongodb,89,9,"0,101123595505618",10,,
Spring,gs-producing-web-service,105,16,"0,152380952380952",15,,
Spring,gs-scheduling-tasks,92,12,"0,130434782608696",13,,
Spring,gs-consuming-web-service,83,8,"0,096385542168675",10,,
Spring,gs-service-registration-and-discovery,85,10,"0,117647058823529",12,,
Spring,gs-validating-form-input,79,6,"0,075949367088608",8,,
Spring,gs-rest-service-cors,71,8,"0,112676056338028",11,,
Spring,gs-async-method,47,4,"0,085106382978723",9,,
Spring,gs-crud-with-vaadin,76,9,"0,118421052631579",12,,
Spring,gs-messaging-redis,51,3,"0,058823529411765",6,,
Spring,gs-messaging-jms,87,10,"0,114942528735632",11,,
Spring,gs-rest-hateoas,53,7,"0,132075471698113",13,,
Spring,gs-authenticating-ldap,68,3,"0,044117647058824",4,,
Spring,gs-relational-data-access,83,7,"0,08433734939759",8,,
Spring,gs-accessing-mongodb-data-rest,64,10,"0,15625",16,,
Spring,gs-accessing-data-mysql,88,16,"0,181818181818182",18,,
Spring,gs-actuator-service,75,12,"0,16",16,,
Spring,gs-testing-web,28,5,"0,178571428571429",18,,
Spring,gs-caching,40,8,"0,2",20,,
Spring,gs-centralized-configuration,55,9,"0,163636363636364",16,,
Spring,gs-circuit-breaker,42,5,"0,119047619047619",12,,
Spring,gs-client-side-load-balancing,23,5,"0,217391304347826",22,,
Spring,gs-handling-form-submission,40,5,"0,125",13,,
Spring,gs-reactive-rest-service,11,2,"0,181818181818182",18,,
Spring,gs-managing-transactions,30,4,"0,133333333333333",13,,
Spring,gs-accessing-data-neo4j,26,5,"0,192307692307692",19,,
Spring,gs-accessing-neo4j-data-rest,20,6,"0,3",30,,
Spring,gs-accessing-data-gemfire,13,3,"0,230769230769231",23,,
Spring,gs-integration,26,1,"0,038461538461539",4,,
Spring,quoters,2,0,0,0,,
Spring,gs-caching-gemfire,18,2,"0,111111111111111",11,,
Spring,gs-accessing-gemfire-data-rest,7,0,0,0,,
Spring,gs-gateway,4,0,0,0,,
Spring,gs-testing-restdocs,10,1,"0,1",10,,
Spring,gs-messaging-gcp-pubsub,9,2,"0,222222222222222",22,,
Spring,gs-accessing-vault,3,0,0,0,,
Spring,gs-contract-rest,4,1,"0,25",25,,
Spring,gs-spring-boot-for-azure,0,0,0,0,,
Spring,gs-vault-config,3,0,0,0,,
Android,easypermissions,1083,31,"0,028624192059095",3,,
Android,android-testing,2194,61,"0,027803099361896",3,,
Android,android-vision,1475,47,"0,031864406779661",3,,
Android,google-services,2323,30,"0,012914334911752",1,,
Android,android-Camera2Basic,1000,59,"0,059",6,,
Android,android-testing-templates,267,14,"0,052434456928839",5,,
Android,android-play-location,2082,40,"0,019212295869356",2,,
Android,android-PictureInPicture,271,3,"0,011070110701107",1,,
Android,android-RuntimePermissions,395,11,"0,027848101265823",3,,
Android,android-FingerprintDialog,433,10,"0,023094688221709",2,,
Android,androidtv-Leanback,385,14,"0,036363636363636",4,,
Android,android-Camera2Video,441,28,"0,063492063492064",6,,
Android,android-play-billing,725,20,"0,027586206896552",3,,
Android,android-ScreenCapture,238,5,"0,021008403361345",2,,
Android,android-instant-apps,239,18,"0,075313807531381",8,,
Android,android-BluetoothChat,560,19,"0,033928571428572",3,,
Android,android-BluetoothLeGatt,483,64,"0,132505175983437",13,,
Android,android-JobScheduler,245,8,"0,03265306122449",3,,
Android,android-EmojiCompat,112,1,"0,008928571428571",1,,
Android,android-RecyclerView,337,8,"0,023738872403561",2,,
Android,android-play-places,638,4,"0,006269592476489",1,,
Android,android-PdfRendererBasic,142,3,"0,02112676056338",2,,
Android,android-unsplash,70,5,"0,071428571428572",7,,
Android,android-nearby,292,8,"0,027397260273973",3,,
Android,android-MultiWindowPlayground,156,0,0,0,,
Android,leanback-showcase,162,10,"0,061728395061728",6,,
Android,android-XYZTouristAttractions,173,11,"0,063583815028902",6,,
Android,android-AutofillFramework,202,10,"0,04950495049505",5,,
Android,android-OurStreets,46,1,"0,021739130434783",2,,
Android,android-custom-lint-rules,65,2,"0,030769230769231",3,,
Android,android-MediaBrowserService,140,10,"0,071428571428572",7,,
Android,android-fit,336,11,"0,032738095238095",3,,
Android,android-ActivitySceneTransitionBasic,107,3,"0,02803738317757",3,,
Android,android-play-publisher-api,181,13,"0,07182320441989",7,,
Android,android-Camera2Raw,130,7,"0,053846153846154",5,,
Android,androidtv-sample-inputs,140,10,"0,071428571428572",7,,
Android,android-DownloadableFonts,76,1,"0,013157894736842",1,,
Android,android-WatchFace,151,14,"0,09271523178808",9,,
Android,android-NotificationChannels,142,8,"0,056338028169014",6,,
Android,android-NavigationDrawer,165,6,"0,036363636363636",4,,
Android,android-DisplayingBitmaps,114,6,"0,052631578947369",5,,
Android,android-SwipeRefreshMultipleViews,83,3,"0,036144578313253",4,,
Android,android-CardView,188,4,"0,021276595744681",2,,
Android,android-MediaRecorder,159,8,"0,050314465408805",5,,
Android,android-testdpc,134,6,"0,044776119402985",4,,
Android,android-AppUsageStatistics,78,6,"0,076923076923077",8,,
Android,android-ActiveNotifications,95,2,"0,021052631578947",2,,
Android,android-MessagingService,141,2,"0,014184397163121",1,,
Android,android-BasicSyncAdapter,109,7,"0,064220183486239",6,,
Android,android-BluetoothAdvertisements,106,8,"0,075471698113208",8,,
Android,android-ConfirmCredential,61,4,"0,065573770491803",7,,
Android,android-AsymmetricFingerprintDialog,75,2,"0,026666666666667",3,,
Android,android-SlidingTabsBasic,91,7,"0,076923076923077",8,,
Android,android-FloatingActionButtonBasic,68,0,0,0,,
Android,android-RevealEffectBasic,47,0,0,0,,
Android,android-ads,185,2,"0,010810810810811",1,,
Android,android-SwipeRefreshListFragment,85,1,"0,011764705882353",1,,
Android,android-TextLinkify,51,0,0,0,,
Android,android-AppShortcuts,112,5,"0,044642857142857",4,,
Android,android-DirectBoot,68,2,"0,029411764705882",3,,
Android,android-play-games-in-motion,42,0,0,0,,
Android,android-credentials,89,6,"0,067415730337079",7,,
Android,android-SlidingTabsColors,64,2,"0,03125",3,,
Android,android-TextSwitcher,60,2,"0,033333333333333",3,,
Android,android-BasicAndroidKeyStore,43,2,"0,046511627906977",5,,
Android,android-SpeedTracker,86,2,"0,023255813953488",2,,
Android,android-NetworkConnect,114,5,"0,043859649122807",4,,
Android,android-SimpleMediaPlayer,61,3,"0,049180327868853",5,,
Android,android-play-safetynet,50,3,"0,06",6,,
Android,android-ActionBarCompat-ShareActionProvider,150,1,"0,006666666666667",1,,
Android,android-BatchStepSensor,46,1,"0,021739130434783",2,,
Android,android-NfcProvisioning,53,2,"0,037735849056604",4,,
Android,android-ScopedDirectoryAccess,56,1,"0,017857142857143",2,,
Android,android-DeviceOwner,51,0,0,0,,
Android,android-CustomNotifications,73,0,0,0,,
Android,android-BasicManagedProfile,68,2,"0,029411764705882",3,,
Android,android-CardEmulation,58,5,"0,086206896551724",9,,
Android,android-BasicAccessibility,50,4,"0,08",8,,
Android,android-ElevationDrag,33,0,0,0,,
Android,android-HdrViewfinder,41,0,0,0,,
Android,android-SynchronizedNotifications,63,1,"0,015873015873016",2,,
Android,android-RepeatingAlarm,79,1,"0,012658227848101",1,,
Android,android-MediaEffects,56,1,"0,017857142857143",2,,
Android,android-DirectShare,41,1,"0,024390243902439",2,,
Android,android-CustomTransition,38,1,"0,026315789473684",3,,
Android,android-Geofencing,95,2,"0,021052631578947",2,,
Android,android-Interpolator,37,1,"0,027027027027027",3,,
Android,android-BasicNotifications,71,4,"0,056338028169014",6,,
Android,android-BasicMediaDecoder,51,2,"0,03921568627451",4,,
Android,android-StorageProvider,46,4,"0,086956521739131",9,,
Android,android-AccelerometerPlay,53,4,"0,075471698113208",8,,
Android,android-BasicNetworking,70,4,"0,057142857142857",6,,
Android,android-ClippingBasic,25,0,0,0,,
Android,android-CardReader,60,2,"0,033333333333333",3,,
Android,android-SwipeRefreshLayoutBasic,55,0,0,0,,
Android,android-BasicTransition,39,1,"0,025641025641026",3,,
Android,android-Timer,58,1,"0,017241379310345",2,,
Android,android-DirectorySelection,37,2,"0,054054054054054",5,,
Android,android-Notifications,40,2,"0,05",5,,
Android,android-HorizontalPaging,34,1,"0,029411764705882",3,,
Android,android-AutoBackupForApps,29,2,"0,068965517241379",7,,
Android,android-codelab-watchface,32,1,"0,03125",3,,
Android,android-MidiSynth,25,0,0,0,,
Android,android-PermissionRequest,37,0,0,0,,
Android,android-ElevationBasic,27,0,0,0,,
Android,android-RenderScriptIntrinsic,24,0,0,0,,
Android,android-StorageClient,39,3,"0,076923076923077",8,,
Android,android-AdvancedImmersiveMode,27,1,"0,037037037037037",4,,
Android,android-google-accounts,33,0,0,0,,
Android,android-ActionBarCompat-ListPopupMenu,42,0,0,0,,
Android,android-BasicRenderScript,34,1,"0,029411764705882",3,,
Android,android-DoneBar,26,0,0,0,,
Android,android-BasicGestureDetect,67,26,"0,388059701492537",39,,
Android,android-DocumentCentricApps,24,0,0,0,,
Android,android-LNotifications,47,1,"0,021276595744681",2,,
Android,android-BeamLargeFiles,29,0,0,0,,
Android,android-GridViewPager,38,0,0,0,,
Android,android-SkeletonWearableApp,31,0,0,0,,
Android,android-ActionBarCompat-Basic,41,1,"0,024390243902439",2,,
Android,android-DataLayer,36,1,"0,027777777777778",3,,
Android,android-ActionBarCompat-Styled,49,0,0,0,,
Android,android-CustomChoiceList,45,2,"0,044444444444445",4,,
Android,android-ImmersiveMode,25,0,0,0,,
Android,android-Quiz,53,0,0,0,,
Android,android-WatchViewStub,32,1,"0,03125",3,,
Android,identity-toolkit-android,39,2,"0,051282051282051",5,,
Android,android-DrawableTinting,19,0,0,0,,
Android,android-FindMyPhone,47,0,0,0,,
Android,android-BorderlessButtons,40,0,0,0,,
Android,android-gcmnetworkmanager,39,0,0,0,,
Android,android-WearCompanionLibrary,20,1,"0,05",5,,
Android,android-play-awareness,19,0,0,0,,
Android,android-BasicContactables,28,1,"0,035714285714286",4,,
Android,android-CommitContentSampleIME,21,2,"0,095238095238095",10,,
Android,leanback-assistant,19,0,0,0,,
Android,android-ActivityInstrumentation,35,2,"0,057142857142857",6,,
Android,android-MediaRouter,22,0,0,0,,
Android,android-fido,15,0,0,0,,
Android,android-WearSpeakerSample,31,0,0,0,,
Android,android-AppRestrictionSchema,22,0,0,0,,
Android,android-JumpingJack,21,0,0,0,,
Android,android-DragAndDropAcrossApps,15,0,0,0,,
Android,android-WearVerifyRemoteApp,27,3,"0,111111111111111",11,,
Android,android-BasicMediaRouter,22,0,0,0,,
Android,android-ElizaChat,25,0,0,0,,
Android,androidtv-VisualGameController,20,0,0,0,,
Android,attendee-checkin,14,0,0,0,,
Android,android-BasicMultitouch,32,2,"0,0625",6,,
Android,android-AppRestrictionEnforcer,30,0,0,0,,
Android,android-Flashlight,32,1,"0,03125",3,,
Android,android-MidiScope,22,0,0,0,,
Android,android-WearDrawers,24,2,"0,083333333333333",8,,
Android,android-ContentProviderPaging,10,0,0,0,,
Android,android-RecipeAssistant,31,0,0,0,,
Android,androidtv-GameController,25,1,"0,04",4,,
Android,android-CommitContentSampleApp,14,0,0,0,,
Android,android-key-attestation,10,1,"0,1",10,,
Android,android-AlwaysOn,25,0,0,0,,
Android,android-BasicImmersiveMode,17,0,0,0,,
Android,android-WearComplicationProvidersTestSuite,13,0,0,0,,
Android,androidtv-daydream,12,1,"0,083333333333333",8,,
Android,android-AppRestrictions,20,0,0,0,,
Android,android-ShareActionProvider,10,0,0,0,,
Android,android-WclDemoSample,15,0,0,0,,
Android,android-WearHighBandwidthNetworking,18,0,0,0,,
Android,android-WearStandaloneGoogleSignIn,11,0,0,0,,
Android,account-transfer-api,10,0,0,0,,
Android,android-RuntimePermissionsWear,18,0,0,0,,
Android,android-DocumentCentricRelinquishIdentity,11,0,0,0,,
Android,android-WifiRttScan,5,1,"0,2",20,,
Android,leanback-homescreen-channels,11,0,0,0,,
Android,android-DelayedConfirmation,16,0,0,0,,
Android,android-TensorFlowCloudMachineLearningEngineStylizer,5,0,0,0,,
Android,android-WearOAuth,9,1,"0,111111111111111",11,,
Android,chromeos-android-draganddrop-demo,2,0,0,0,,
Android,android-WearAccessibilityApp,5,0,0,0,,
