path,20,2014-06-25,dateOfChange,21,2014-10-17,dateOfChange,22,2015-03-09,dateOfChange,23,2015-08-17,dateOfChange,24,2016-06-15,dateOfChange,25,2016-11-22,dateOfChange,26,2017-06-08,dateOfChange,27,2017-12-05,dateOfChange,28,2018-07-25,dateOfChange
android-HdrViewfinder/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WearAccessibilityApp/Wearable/build.gradle,,,,,,,,,,,,,,,,,,,,,,27,51,2018-1-25,,,
android-NetworkConnect/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-AlwaysOn/Wearable/build.gradle,,,,,,,,,,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,64,2017-8-11,,,,,,
android-BasicMultitouch/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ConfirmCredential/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WatchFace/Wearable/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,293,2018-3-28,27,26,2017-11-9,,,
android-WatchFace/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,26,2017-11-9,,,
android-ActionBarCompat-Styled/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-CardView/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-Flashlight/Wearable/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-HorizontalPaging/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BasicTransition/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ImmersiveMode/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ElevationDrag/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ScreenCapture/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-RenderScriptIntrinsic/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ShareActionProvider/Application/build.gradle,,,,,,,,,,,,,,,,,,,26,124,2017-10-10,27,72,2018-2-15,,,
android-BasicMediaDecoder/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,28,90,2018-10-23
android-MediaRecorder/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-NavigationDrawer/Application/build.gradle,,,,,,,,,,23,247,2016-4-20,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SpeedTracker/Wearable/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,64,2017-8-11,,,,,,
android-SpeedTracker/Shared/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,51,2018-1-25,,,
android-SpeedTracker/Application/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,51,2018-1-25,,,
android-DocumentCentricRelinquishIdentity/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ActiveNotifications/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,,,,,,,,,,,,
android-BluetoothLeGatt/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-AppRestrictions/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WearSpeakerSample/wear/build.gradle,,,,,,,,,,,,,,,,25,79,2017-2-9,26,139,2017-10-25,,,,,,
android-DisplayingBitmaps/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-MediaEffects/Application/build.gradle,,,,21,32,2014-11-18,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BasicContactables/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
google-services/android/analytics/app/build.gradle,,,,,,,,,,23,17,2015-9-3,24,12,2016-6-27,25,1,2016-11-21,,,,27,168,2018-5-22,,,
google-services/android/signin/app-legacy/build.gradle,,,,,,,,,,,,,24,12,2016-6-27,25,97,2017-2-27,,,,27,168,2018-5-22,,,
google-services/android/signin/app/build.gradle,,,,,,,,,,23,17,2015-9-3,24,12,2016-6-27,25,1,2016-11-21,26,104,2017-9-20,27,168,2018-5-22,,,
google-services/android/gcm/app/build.gradle,,,,,,,,,,23,15,2015-9-1,24,12,2016-6-27,25,1,2016-11-21,,,,27,168,2018-5-22,,,
android-BasicNetworking/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BorderlessButtons/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-DelayedConfirmation/Wearable/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-DelayedConfirmation/Application/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-FingerprintDialog/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,,,,26,139,2017-10-25,,,,,,
android-PdfRendererBasic/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ActivityInstrumentation/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SwipeRefreshMultipleViews/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WearHighBandwidthNetworking/Wearable/build.gradle,,,,,,,,,,,,,,,,,,,26,64,2017-8-11,,,,,,
android-SwipeRefreshListFragment/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-DrawableTinting/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-OurStreets/app/build.gradle,,,,,,,,,,,,,24,83,2016-9-6,,,,,,,,,,,,
leanback-homescreen-channels/app/build.gradle,,,,,,,,,,,,,,,,,,,,,,27,143,2018-4-27,,,
android-BasicManagedProfile/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-play-awareness/basic-awareness-sample/app/build.gradle,,,,,,,,,,,,,,,,25,297,2017-9-15,,,,,,,,,
android-TextLinkify/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-StorageProvider/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-DirectorySelection/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ActionBarCompat-ListPopupMenu/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-AppUsageStatistics/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WearCompanionLibrary/WCL/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,
androidtv-sample-inputs/library/build.gradle,,,,,,,,,,,,,24,23,2016-7-8,,,,,,,,,,,,
androidtv-sample-inputs/app/build.gradle,,,,,,,22,86,2015-6-3,23,22,2015-9-8,24,34,2016-7-19,,,,,,,,,,,,
android-WearStandaloneGoogleSignIn/app/build.gradle,,,,,,,,,,,,,,,,25,72,2017-2-2,,,,,,,,,
android-Interpolator/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BluetoothChat/Application/build.gradle,,,,21,32,2014-11-18,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-ActivitySceneTransitionBasic/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SlidingTabsColors/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-play-games-in-motion/app/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,
android-WearVerifyRemoteApp/Application/build.gradle,,,,,,,,,,,,,,,,,,,26,124,2017-10-10,27,26,2017-11-9,,,
android-DirectShare/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-play-safetynet/client/java/SafetyNetSample/Application/build.gradle,,,,,,,,,,,,,,,,,,,26,5,2017-6-13,,,,,,
android-LNotifications/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-DirectBoot/Application/build.gradle,,,,,,,,,,,,,,,,25,21,2016-12-13,,,,,,,,,
android-WearComplicationProvidersTestSuite/Wearable/build.gradle,,,,,,,,,,,,,,,,,,,26,64,2017-8-11,,,,,,
android-BasicRenderScript/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
androidtv-VisualGameController/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,
android-WearDrawers/Wearable/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,64,2017-8-11,,,,,,
android-DeviceOwner/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BasicAndroidKeyStore/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SynchronizedNotifications/Wearable/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SynchronizedNotifications/Shared/build.gradle,20,146,2014-11-18,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-SynchronizedNotifications/Application/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
leanback-showcase/app/build.gradle,,,,,,,,,,,,,,,,25,141,2017-4-12,26,43,2017-7-21,,,,,,
android-BasicMediaRouter/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-CustomChoiceList/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BeamLargeFiles/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-JobScheduler/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,3,2017-12-8,,,
android-BasicNotifications/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-Camera2Basic/Application/build.gradle,,,,,,,,,,23,3,2015-8-20,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,3,2017-12-8,,,
easypermissions/easypermissions/build.gradle,,,,,,,,,,,,,24,91,2016-9-14,,,,,,,,,,,,
easypermissions/app/build.gradle,,,,,,,,,,,,,24,91,2016-9-14,,,,,,,,,,,,
android-ElizaChat/Application/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-RuntimePermissionsWear/Wearable/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,64,2017-8-11,,,,,,
android-RuntimePermissionsWear/Shared/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,51,2018-1-25,,,
android-RuntimePermissionsWear/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,51,2018-1-25,,,
android-play-billing/TrivialDrive/app/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,
android-nearby/messages/NearbyDevices/app/build.gradle,,,,,,,,,,23,277,2016-5-20,,,,,,,,,,,,,,,
android-nearby/connections/rockpaperscissors/app/build.gradle,,,,,,,,,,,,,,,,,,,,,,27,71,2018-2-14,28,63,2018-9-26
android-nearby/connections/walkietalkie/app/build.gradle,,,,,,,,,,,,,,,,,,,,,,27,71,2018-2-14,,,
android-FindMyPhone/Wearable/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-FindMyPhone/Application/build.gradle,,,,21,47,2014-12-3,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-CardEmulation/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-BasicGestureDetect/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
account-transfer-api/app/build.gradle,,,,,,,,,,,,,,,,,,,26,81,2017-8-28,,,,,,
android-MidiScope/Application/build.gradle,,,,,,,,,,,,,24,58,2016-8-12,25,21,2016-12-13,26,124,2017-10-10,27,72,2018-2-15,,,
android-WearOAuth/app/build.gradle,,,,,,,,,,,,,,,,25,72,2017-2-2,,,,,,,,,
android-MessagingService/Application/build.gradle,,,,,,,22,50,2015-4-28,23,0,2015-8-17,24,58,2016-8-12,,,,,,,,,,,,
